id,name,lastname,email,sex,longitude,latitude,rut,strength,dextery,knowledge,motivation,leadership
222,Euphemia,Gyngyll,egyngyll65@state.tx.us,Female,-70.8662684346445,-34.0955816110471,23864545-k,6,6,10,3,8
223,Dolores,Jumel,djumel66@etsy.com,Female,-70.3518464115355,-34.0090606407602,23750569-7,8,7,3,5,6
224,Karina,Syrie,ksyrie67@cmu.edu,Female,-70.641943695683,-34.0325588557463,23727359-1,8,1,5,3,9
225,Clerc,Kmicicki,ckmicicki68@exblog.jp,Male,-70.604603811901,-34.0725047094811,23726321-9,10,2,5,7,5
226,Mile,Tuma,mtuma69@cnbc.com,Male,-71.0181037814853,-34.3247024373684,23694504-9,3,2,2,4,4
227,Valdemar,Sporrij,vsporrij6a@sina.com.cn,Male,-70.9112227792173,-34.2513518034467,23666221-7,2,10,4,5,5
228,Bobette,Isard,bisard6b@opera.com,Female,-70.9262831461433,-34.2831897463674,23657751-1,10,5,8,1,3
229,Timi,Vannini,tvannini6c@answers.com,Female,-71.0179356624717,-34.1841059071278,23579426-8,7,10,9,10,6
230,Tito,Tomlett,ttomlett6d@angelfire.com,Male,-71.0331898484085,-34.2096580351982,23557843-3,4,7,6,10,6
231,Christabella,Jagiello,cjagiello6e@symantec.com,Female,-71.0418334650791,-34.2409417383213,23544407-0,7,3,8,2,8
232,Jeana,Daniells,jdaniells6f@jimdo.com,Female,-70.9345486329166,-34.1853312915347,23544166-7,6,4,10,2,6
233,Aleksandr,Goodbody,agoodbody6g@cpanel.net,Male,-70.9105760401409,-34.2140833585212,23531125-9,7,7,8,6,1
234,Jessamyn,Borrel,jborrel6h@diigo.com,Female,-70.9815995702878,-34.2378804552849,23527924-k,6,2,8,5,1
235,Fanchette,Exposito,fexposito6i@imdb.com,Female,-70.7360804547822,-34.0938181562272,23466165-5,2,8,7,6,5
236,Harri,Bartot,hbartot6j@dell.com,Female,-70.7872489430355,-34.001140235946,23450948-9,3,1,6,4,6
237,Taber,Hender,thender6k@yandex.ru,Male,-70.730654361508,-34.0767509533012,23445217-7,8,3,9,8,6
238,Ambur,Houchen,ahouchen6l@ibm.com,Female,-71.476777315307,-34.0809978970101,23433547-2,5,10,2,4,8
239,Rollin,McFarlane,rmcfarlane6m@vimeo.com,Male,-71.1512115917249,-34.1845655401884,23432674-0,3,4,2,5,1
240,Nonna,Sextie,nsextie6n@reference.com,Female,-71.4140037793599,-34.1888058715845,23431131-k,7,4,1,1,5
241,Carma,Sheppey,csheppey6o@state.tx.us,Female,-70.31066720585,-34.54440060834,23419177-2,7,5,5,7,2
242,Sadie,Taber,staber6p@wikia.com,Female,-70.2180219934237,-34.4462690151125,23408300-7,4,1,5,10,1
243,Brig,Vellender,bvellender6q@paypal.com,Male,-70.3270295490576,-34.4911685168718,23400910-9,8,4,1,6,1
244,Catlaina,Cana,ccana6r@cbslocal.com,Female,-70.8167227951037,-34.4876064761801,23320154-5,6,8,8,4,2
245,Clarke,Braidon,cbraidon6s@goodreads.com,Male,-71.0189505713564,-34.4274107382145,23282957-5,7,10,7,3,1
246,Garfield,Lapsley,glapsley6t@cisco.com,Male,-70.9384446493833,-34.4486624685976,23268236-1,8,10,8,6,6
247,Celina,Labbey,clabbey6u@mail.ru,Female,-70.8117614667077,-33.9670309413723,23262484-1,7,9,1,5,7
248,Anton,Kabos,akabos6v@pagesperso-orange.fr,Male,-70.4099694001974,-33.9637916133075,23245271-4,9,3,3,10,1
249,Ned,Pays,npays6w@ucsd.edu,Male,-70.795544979058,-33.9492105759454,23213210-8,2,7,6,7,9
250,Andie,Phillps,aphillps6x@opensource.org,Female,-70.8436763173637,-34.2200309980044,23206006-9,1,1,2,9,6
251,Oren,Chapiro,ochapiro6y@dagondesign.com,Male,-70.8482404813062,-34.2203062966977,23201759-7,7,9,2,3,6
252,Khalil,Proven,kproven6z@ocn.ne.jp,Male,-70.8454303345778,-34.2165610053197,23201313-3,9,5,10,7,2
253,Morley,Kubik,mkubik70@t.co,Male,-71.2075931978246,-34.3416826574615,23178888-3,5,6,3,5,2
254,Kay,Zavattieri,kzavattieri71@icq.com,Female,-71.2563548323539,-34.3457966018408,23172107-k,10,3,10,2,8
255,Luigi,Winsbury,lwinsbury72@amazon.co.jp,Male,-71.2910846316694,-34.3127492805084,23111271-5,3,1,8,4,9
256,Harmon,Clohissy,hclohissy73@ibm.com,Male,-71.2758184742309,-34.4684264069474,23041842-k,2,6,10,2,4
257,Dulciana,Joffe,djoffe74@un.org,Female,-71.3740245059006,-34.4001988464339,23015237-3,2,1,9,5,10
258,Findley,Kaman,fkaman75@apple.com,Male,-71.359886623903,-34.3250087582608,22955153-1,9,3,9,9,8
259,Ambrosi,Galley,agalley76@liveinternet.ru,Male,-71.0532351194871,-34.3300557652268,22929019-3,4,10,7,5,8
260,Billy,Torns,btorns77@engadget.com,Male,-71.0124903633783,-34.3609093794548,22928984-5,8,7,8,7,1
261,Osbourn,Kenworth,okenworth78@ycombinator.com,Male,-70.9515452197613,-34.3764182069512,22875887-6,2,7,4,1,8
262,Lorri,Sandham,lsandham79@wordpress.com,Female,-70.7429606739996,-34.4161877419155,22863384-4,10,1,9,3,10
263,Rik,Bavidge,rbavidge7a@uiuc.edu,Male,-70.7335046895536,-34.5002984616712,22863266-k,4,8,8,1,6
264,Adelice,Pinner,apinner7b@mtv.com,Female,-70.6123369542523,-34.5469486455219,22849964-1,4,4,9,6,1
265,Cornell,Pllu,cpllu7c@paypal.com,Male,-70.7243149896036,-34.3145912120314,22816282-5,10,9,5,8,10
266,Beale,Shoebrook,bshoebrook7d@constantcontact.com,Male,-70.5393660073754,-34.3396878530318,22796013-2,4,1,4,2,7
267,Sigismond,Brunroth,sbrunroth7e@hhs.gov,Male,-70.5175161251937,-34.3075849873375,22731320-k,1,7,6,7,4
268,Brynna,Cragoe,bcragoe7f@nbcnews.com,Female,-71.1000528697913,-34.3984786524643,22605354-9,1,10,8,7,8
269,Griswold,Hause,ghause7g@networksolutions.com,Male,-71.0488348841038,-34.3899374791435,22561515-2,2,5,9,1,4
270,Wilburt,Denning,wdenning7h@auda.org.au,Male,-71.0662901077933,-34.343689558344,22534303-9,3,5,2,5,2
271,Gladys,Snelgar,gsnelgar7i@google.cn,Female,-71.9227959409764,-34.5504379090723,22476503-7,2,10,2,1,1
272,Misha,Byre,mbyre7j@cloudflare.com,Female,-71.9699498945851,-34.4075632824419,22473578-2,5,5,5,8,2
273,Heath,Dipple,hdipple7k@qq.com,Male,-71.9643488875976,-34.5051080549355,22403305-2,3,4,9,6,5
274,Kristofer,Dragonette,kdragonette7l@alibaba.com,Male,-71.4897624826216,-34.2524904294454,22391792-5,10,1,5,1,8
275,Sonnie,Cossey,scossey7m@jugem.jp,Female,-71.5478842434629,-34.1285499682862,22354527-0,4,1,10,2,1
276,Mel,Wimms,mwimms7n@de.vu,Male,-71.5697296887551,-34.2749725758753,22306051-k,6,9,8,2,3
277,Blanca,Graalman,bgraalman7o@loc.gov,Female,-71.7008045541449,-34.0101243111658,22279767-5,10,2,5,5,8
278,Eleanor,Rodson,erodson7p@people.com.cn,Female,-71.7194665294843,-34.1652617941038,22248510-k,1,6,6,6,4
279,Sloane,Jales,sjales7q@arstechnica.com,Male,-71.9316260410902,-34.0874317444432,22215038-8,4,4,5,1,4
280,Emalee,Cuncarr,ecuncarr7r@parallels.com,Female,-71.75276501732,-34.3401433952728,22211850-6,8,8,1,4,9
281,Kelsi,Jarrad,kjarrad7s@elegantthemes.com,Female,-71.7426912502457,-34.4676170252604,22209891-2,1,3,3,7,4
282,Lethia,Lambswood,llambswood7t@imdb.com,Female,-71.8463681956147,-34.2929121814541,22202650-4,6,5,5,1,3
283,Darnall,Dimitriades,ddimitriades7u@homestead.com,Male,-71.8346769597191,-34.0054391747925,22202351-3,7,9,7,2,10
284,Goldina,Conford,gconford7v@edublogs.org,Female,-71.8087487879439,-34.0765756681765,22184635-4,2,1,8,5,4
285,Lucia,Kimmons,lkimmons7w@cornell.edu,Female,-71.8498967438425,-34.052027542835,22181919-5,9,7,1,2,9
286,Sydney,Mewis,smewis7x@surveymonkey.com,Male,-71.8773377785525,-34.6623604452472,22173349-5,9,8,9,2,2
287,Ricoriki,Martinets,rmartinets7y@geocities.com,Male,-71.8929150964585,-34.7640146978112,22053882-6,5,7,6,10,5
288,Derrek,Clethro,dclethro7z@netscape.com,Male,-71.8932580601244,-34.7556851285951,22003217-5,10,3,6,9,3
289,Stuart,Feetham,sfeetham80@disqus.com,Male,-70.5144305319617,-34.8596391327581,21908605-9,8,7,5,8,6
290,Sauveur,McConnal,smcconnal81@tumblr.com,Male,-70.6461561458035,-34.66916703341,21892470-0,1,10,4,8,1
291,Kylynn,Cannings,kcannings82@sphinn.com,Female,-70.5310865850346,-34.7949395883514,21840886-9,5,10,1,5,7
292,Bobbe,Coultish,bcoultish83@ox.ac.uk,Female,-71.4793519919012,-34.7571583081464,21802226-k,5,1,1,4,4
293,Anneliese,Grebbin,agrebbin84@weebly.com,Female,-71.4492810488187,-34.8244881416259,21800959-k,10,9,2,7,7
294,Garwood,Tewnion,gtewnion85@acquirethisname.com,Male,-71.3647527044635,-34.7772086360693,21737829-k,1,1,3,5,9
295,Cecile,Verlinden,cverlinden86@seesaa.net,Female,-70.8950188853225,-34.749304536363,21726110-4,9,6,3,7,3
296,Cassey,Keasy,ckeasy87@scribd.com,Female,-71.0097914649535,-34.7942800917563,21651114-k,3,1,6,2,5
297,Monte,Vitte,mvitte88@macromedia.com,Male,-71.046563567966,-34.7135840631273,21637606-4,9,9,8,6,5
298,Yank,Wonfar,ywonfar89@google.cn,Male,-71.5672846711719,-34.6423604130574,21612085-k,10,6,8,1,6
299,Ingunna,Blasing,iblasing8a@unesco.org,Female,-71.5411169372818,-34.7905757735874,21499129-2,1,1,10,6,7
300,Janella,Godman,jgodman8b@addthis.com,Female,-71.6362050786759,-34.8534896710169,21469220-1,10,2,2,8,5
301,Deloria,Ellcome,dellcome8c@typepad.com,Female,-71.1724188553678,-34.6293413411855,21389310-6,2,1,1,5,5
302,Kingston,Meredyth,kmeredyth8d@deviantart.com,Male,-71.1674166520485,-34.6061377156232,21363252-3,1,8,1,6,9
303,Toinette,McKendo,tmckendo8e@qq.com,Female,-71.1924051866243,-34.6156981909716,21361881-4,4,6,3,9,8
304,Norris,Topley,ntopley8f@loc.gov,Male,-71.2718907055105,-34.5090027459333,21336064-7,1,4,5,9,9
305,Vern,Ferrarone,vferrarone8g@reddit.com,Male,-71.3079670889937,-34.558457594863,21311187-6,1,3,2,10,2
306,Dallon,Phinnis,dphinnis8h@gravatar.com,Male,-71.2820159849431,-34.5022896656264,21272982-5,10,10,3,10,3
307,Bronnie,Wiersma,bwiersma8i@biblegateway.com,Male,-71.5140669516418,-34.5065320049516,21230295-3,5,3,1,2,9
308,Aindrea,Oldroyd,aoldroyd8j@acquirethisname.com,Female,-71.4074470541746,-34.4364636801426,21170728-3,2,6,8,7,6
309,Nanete,Rougier,nrougier8k@prlog.org,Female,-71.4082117379913,-34.4185873462807,21106748-9,7,7,3,3,6
310,Joelynn,Chainey,jchainey8l@cnet.com,Female,-71.1165508217984,-34.6035297908457,21102655-3,2,6,6,6,6
311,Hilton,Gaymar,hgaymar8m@seattletimes.com,Male,-71.0515720525096,-34.6487501431592,21083645-4,1,4,6,6,8
312,Mathias,Manterfield,mmanterfield8n@yale.edu,Male,-71.0752595510477,-34.5965266282722,21068648-7,8,1,4,1,4
313,Consuela,Dobrowski,cdobrowski8o@apache.org,Female,-71.8130634240873,-34.573835363927,21067159-5,8,5,1,2,7
314,Ceil,Thorold,cthorold8p@squarespace.com,Female,-71.6634764616603,-34.6655648914469,21043815-7,7,1,6,7,5
315,Erica,Aplin,eaplin8q@domainmarket.com,Female,-71.7097653353926,-34.5970377861715,21006638-1,8,3,5,5,10
316,Jenelle,Francomb,jfrancomb8r@npr.org,Female,-71.4477689370005,-34.6294245718092,21003810-8,2,9,2,6,8
317,Callida,Metcalfe,cmetcalfe8s@wikimedia.org,Female,-71.4589467986541,-34.5723010873998,20996940-8,3,9,2,10,4
318,Maxwell,Caselick,mcaselick8t@posterous.com,Male,-71.3116844302648,-34.7031651223127,20990146-3,7,10,2,2,4
319,Rianon,Butten,rbutten8u@go.com,Female,-71.6323016468431,-35.3632545815173,20898400-4,3,2,7,1,7
320,Avie,Connell,aconnell8v@elpais.com,Female,-71.5964511919476,-35.4657894187623,20890347-0,10,7,6,2,2
321,Marnie,Elwyn,melwyn8w@51.la,Female,-71.6574917893034,-35.3540003017645,20886997-3,1,3,10,10,5
322,Mandie,Fortnam,mfortnam8x@toplist.cz,Female,-72.4317299105584,-35.43414900344,20883916-0,2,5,7,8,2
323,Marina,Ganter,mganter8y@whitehouse.gov,Female,-72.1519969196143,-35.3906405821033,20878318-1,2,8,10,9,7
324,Sherill,Danielot,sdanielot8z@webeden.co.uk,Female,-72.0794911070943,-35.2949032538743,20835697-6,2,6,1,4,1
325,Geri,Parmiter,gparmiter90@jigsy.com,Male,-72.2021875333355,-35.1202058077494,20771364-3,10,2,3,7,4
326,Brian,Donisi,bdonisi91@cdc.gov,Male,-72.0345579240471,-35.0916278520009,20767668-3,7,2,7,6,2
327,Bat,Vanichkov,bvanichkov92@ifeng.com,Male,-71.8202910127748,-35.1463101248888,20722154-6,2,7,1,7,10
328,Inglebert,Bromige,ibromige93@nps.gov,Male,-72.179559862417,-35.6971592476728,20634500-4,4,2,6,8,10
329,Teressa,Brown,tbrown94@ning.com,Female,-72.3214036895587,-35.580037855876,20627551-0,4,10,5,8,10
330,Timmie,Kleinsmuntz,tkleinsmuntz95@twitter.com,Male,-72.3466471457062,-35.592828929959,20625377-0,2,10,1,2,9
331,Elizabet,Wimpeney,ewimpeney96@geocities.jp,Female,-71.8209589978112,-35.4914242224951,20611646-3,10,6,5,2,6
332,Gillan,MacFall,gmacfall97@rakuten.co.jp,Female,-71.6749016554291,-35.4975704370898,20581740-9,1,8,6,3,4
333,Kati,Antonich,kantonich98@senate.gov,Female,-71.5778202895602,-35.5759018882239,20569729-2,7,7,9,10,1
334,Bradly,Blaszczynski,bblaszczynski99@nasa.gov,Male,-71.3235334770581,-35.3853880235332,20551010-9,5,5,5,5,9
335,Antone,Lesser,alesser9a@google.pl,Male,-71.4931319947947,-35.4014175391621,20526819-7,2,9,1,9,4
336,Melly,Witherop,mwitherop9b@lulu.com,Female,-71.4250049897044,-35.4101852766397,20455164-2,8,2,7,10,5
337,Padgett,Christoffersen,pchristoffersen9c@altervista.org,Male,-71.9172199617863,-35.3415879901954,20410365-8,8,6,2,3,7
338,Ethyl,Brabant,ebrabant9d@cornell.edu,Female,-71.7888844876109,-35.2692000433044,20409248-6,6,9,5,2,1
339,Evered,Lemanu,elemanu9e@liveinternet.ru,Male,-71.5864258733096,-35.2434217264667,20406354-0,9,8,2,8,7
340,Yolande,Godbolt,ygodbolt9f@about.me,Female,-71.253879652302,-35.2111196378726,20334488-0,6,6,1,1,9
341,Gracie,Rigge,grigge9g@mtv.com,Female,-71.3779430240609,-35.3007944681349,20295856-7,5,7,4,6,1
342,Seward,Yitzhak,syitzhak9h@ibm.com,Male,-71.2191489240225,-35.2255156110978,20284318-2,5,10,2,5,5
343,Kaitlin,Danis,kdanis9i@nymag.com,Female,-70.8365577343022,-35.9378127202549,20279146-8,7,10,7,2,7
344,Charmaine,Engledow,cengledow9j@over-blog.com,Female,-70.8151998568768,-35.9208535820161,20267273-6,8,3,1,4,9
345,Nathanael,Wentworth,nwentworth9k@privacy.gov.au,Male,-71.2469281553414,-35.3830774791289,20263915-1,6,9,7,9,3
346,Hughie,Iggalden,higgalden9l@usda.gov,Male,-71.3991981398232,-35.2915562438267,20263620-9,9,10,7,8,4
347,Sara,Webben,swebben9m@census.gov,Female,-71.5508162117103,-35.2341760054717,20222918-2,5,5,2,3,9
348,Dewain,Aps,daps9n@google.cn,Male,-71.5026414890178,-35.2568484704743,20083817-3,8,2,1,10,1
349,Reeta,Faughnan,rfaughnan9o@simplemachines.org,Female,-72.1199335765253,-35.9074043550887,20075041-1,5,10,1,1,7
350,Shalna,Zecchini,szecchini9p@cbslocal.com,Female,-72.1309877071809,-35.9647847260427,20068646-2,6,8,6,6,9
351,Stefano,Ronald,sronald9q@ca.gov,Male,-72.4438533616482,-36.0650442719173,20024749-3,1,8,3,2,2
352,Ikey,Harryman,iharryman9r@slate.com,Male,-72.628536307936,-35.61161244868,20020259-7,6,7,2,9,1
353,Shae,Tale,stale9s@mediafire.com,Male,-72.4589921895503,-35.7175070138613,20013498-2,2,7,10,2,2
354,Cathie,Sargeaunt,csargeaunt9t@oakley.com,Female,-72.526402088266,-35.6875212717302,19981069-3,3,1,5,8,7
355,Towny,Cuxson,tcuxson9u@google.ru,Male,-72.488142620797,-35.9000915853414,19969694-7,4,5,1,7,1
356,Valenka,Krollmann,vkrollmann9v@ftc.gov,Female,-72.670738292176,-36.0051049707566,19865078-1,10,3,10,3,2
357,Bambie,Dowthwaite,bdowthwaite9w@businessinsider.com,Female,-72.6620740194834,-36.0185802092845,19863464-6,2,4,7,2,9
358,Mela,Shimwell,mshimwell9x@scientificamerican.com,Female,-71.2095768124509,-34.9397968766999,19838241-8,6,7,10,4,8
359,Renelle,Deyenhardt,rdeyenhardt9y@ca.gov,Female,-71.0650357042088,-35.1443567048706,19828303-7,3,10,4,2,5
360,Stormie,Carlisle,scarlisle9z@indiatimes.com,Female,-70.9374336064854,-35.2652701634465,19804998-0,9,5,4,6,6
361,Issiah,Rosenschein,irosenscheina0@washington.edu,Male,-71.7757680706633,-34.9117102936098,19784871-5,3,7,3,5,5
362,Marje,Settle,msettlea1@technorati.com,Female,-71.5922610258563,-34.8850084734473,19738834-k,8,10,3,10,1
363,Daren,Joret,djoreta2@hhs.gov,Male,-71.512605324715,-34.9763418852141,19732344-2,5,2,2,1,2
364,Morena,Egginson,megginsona3@facebook.com,Female,-72.0366090114394,-35.0035671515552,19729192-3,3,8,6,9,3
365,Wilburt,Picopp,wpicoppa4@cbslocal.com,Male,-72.1509987717453,-35.0083432834434,19721334-5,5,10,9,8,3
366,Baird,Capeloff,bcapeloffa5@fastcompany.com,Male,-72.0423019629682,-34.9820868333883,19720703-5,9,9,4,8,5
367,Alley,Sandry,asandrya6@jigsy.com,Male,-70.9813598944471,-35.3223888305164,19673251-9,5,1,10,8,9
368,Artemus,Abramovic,aabramovica7@wordpress.org,Male,-71.2605668839804,-35.1026330388227,19670244-k,7,7,6,8,2
369,Hernando,Chetwind,hchetwinda8@arizona.edu,Male,-70.8702775922829,-35.4239866748597,19634580-9,6,10,3,8,2
370,Pete,Foucher,pfouchera9@dell.com,Male,-71.3365200417076,-34.8917186135857,19632627-8,9,10,10,1,7
371,Ashbey,MacAdam,amacadamaa@dell.com,Male,-71.4738131118291,-34.9184917435857,19578197-4,2,9,1,6,1
372,Fred,Tetla,ftetlaab@weather.com,Female,-71.4331388910535,-34.9025615021342,19564048-3,4,7,6,4,10
373,Brenna,Petticrew,bpetticrewac@drupal.org,Female,-70.4399353516903,-35.1033689304194,19516116-k,6,9,9,10,5
374,Paolo,Statersfield,pstatersfieldad@bravesites.com,Male,-71.0681319244541,-35.009039320276,19474593-1,1,7,3,7,8
375,Evangelina,Helwig,ehelwigae@furl.net,Female,-70.4958135666944,-34.9848764499573,19454015-9,4,6,3,6,7
376,Catarina,McKinstry,cmckinstryaf@cbc.ca,Female,-71.3707678548887,-35.0060376175686,19433604-7,7,8,2,7,1
377,Neall,Caswell,ncaswellag@technorati.com,Male,-71.3339362248024,-35.0595313859311,19410353-0,8,5,1,2,2
378,Lotti,McCormack,lmccormackah@toplist.cz,Female,-71.5469656171197,-35.1317566654399,19285636-1,8,8,9,8,1
379,Issie,Tanzer,itanzerai@noaa.gov,Female,-71.2065497305804,-34.8839351069135,19285200-5,1,5,2,4,10
380,Willa,Tender,wtenderaj@cmu.edu,Female,-71.0490986774,-34.9120230386145,19272854-1,3,8,6,8,4
381,Lurette,Kiggel,lkiggelak@woothemes.com,Female,-71.2906331718721,-34.8534308152352,19253463-1,1,7,2,5,2
382,Cathi,Lewton,clewtonal@zdnet.com,Female,-72.0517893940236,-34.880660266201,19239459-7,8,9,10,2,7
383,Genvieve,Whiskin,gwhiskinam@amazon.co.uk,Female,-72.1216026429381,-34.8419092187136,19238786-8,4,1,2,4,9
384,Esma,O'Lagen,eolagenan@wp.com,Female,-71.955557289315,-34.8793637966295,19233886-7,7,6,1,9,3
385,Adam,Georgiev,ageorgievao@opensource.org,Male,-71.1438526266688,-35.8857933749711,19222204-4,2,1,1,8,2
386,Cyrus,Kierans,ckieransap@techcrunch.com,Male,-71.5503989871559,-35.8020776240599,19184121-2,5,9,1,10,4
387,Boot,Ludy,bludyaq@123-reg.co.uk,Male,-71.3216146623262,-36.0514619469029,19125686-7,1,6,8,5,6
388,Lorelle,Albrighton,lalbrightonar@salon.com,Female,-70.9778910657719,-36.4233451617057,19064085-k,2,2,1,4,4
389,Cori,Bruhnicke,cbruhnickeas@addthis.com,Female,-71.349271748737,-35.8275611631254,19048359-2,4,6,7,2,10
390,Lorinda,Espinel,lespinelat@unicef.org,Female,-71.1176205821662,-35.8576385250395,18992660-k,4,6,7,9,9
391,Tandy,Jerzak,tjerzakau@disqus.com,Female,-71.8202666318301,-35.8082578378205,18963966-k,7,4,3,6,10
392,Adelheid,Senechell,asenechellav@techcrunch.com,Female,-71.7477667097116,-35.8904528922446,18831499-6,7,10,6,4,3
393,Cally,Doerffer,cdoerfferaw@mlb.com,Female,-71.6377056161151,-36.0787180558013,18823691-k,5,3,9,4,4
394,Chrisse,Meale,cmealeax@prnewswire.com,Male,-71.7148917904711,-36.2705694125563,18806732-8,9,5,6,9,3
395,Bobbye,Wanderschek,bwanderschekay@house.gov,Female,-71.5635698389042,-36.3677367812714,18803203-6,6,4,4,9,6
396,Kendall,Samper,ksamperaz@uiuc.edu,Male,-71.3542702868554,-36.2720452422774,18783702-2,4,9,5,7,5
397,Wash,Roxburgh,wroxburghb0@disqus.com,Male,-71.9905423166745,-35.9505230921694,18778403-4,6,7,4,3,3
398,Den,Erratt,derrattb1@weebly.com,Male,-71.6988172862067,-36.1423367424188,18741296-k,5,10,4,5,7
399,Lemmie,Giraudel,lgiraudelb2@timesonline.co.uk,Male,-71.7389353428869,-36.1259070186973,18693306-0,6,5,4,8,10
400,Barde,Oldroyde,boldroydeb3@sbwire.com,Male,-71.6481901663535,-35.611393649695,18637955-1,6,6,1,7,5
401,Christan,Francecione,cfrancecioneb4@exblog.jp,Female,-72.0186461500509,-35.7362151057922,18584874-4,3,8,2,9,4
402,Care,Yggo,cyggob5@yahoo.co.jp,Male,-71.9384872918322,-35.7302481903903,18576795-7,2,3,3,9,1
403,Gerard,Roblou,grobloub6@lycos.com,Male,-71.6783656180028,-35.6381589291408,18489506-4,6,4,3,6,5
404,Upton,Huckstepp,uhucksteppb7@purevolume.com,Male,-71.7251759470916,-35.6818231096171,18486861-k,7,3,8,7,6
405,Siana,Riglesford,sriglesfordb8@wp.com,Female,-71.6703750762292,-35.7687790480783,18482457-4,10,4,3,5,7
406,Conny,Hearse,chearseb9@rediff.com,Male,-71.5531340704458,-35.6345852530569,18378463-3,9,10,1,10,5
407,Westley,Pond-Jones,wpondjonesba@rediff.com,Male,-71.5329111057313,-35.6526548190665,18363445-3,5,2,4,9,1
408,Martynne,Boynton,mboyntonbb@tamu.edu,Female,-71.5164047577783,-35.6608004753991,18256555-5,9,3,3,2,5
409,Scott,Culbard,sculbardbc@ca.gov,Male,-72.9848288698342,-37.033278031138,18251700-3,10,6,5,10,4
410,Priscella,Harberer,pharbererbd@symantec.com,Female,-73.0935884031865,-36.9965138854398,18248513-6,7,6,8,9,7
411,Max,McKenzie,mmckenziebe@dion.ne.jp,Male,-73.0718904137336,-37.0113707864616,18226058-4,9,3,2,7,1
412,Luis,Illsley,lillsleybf@jalbum.net,Male,-72.8018345699259,-36.883914389232,18217109-3,1,2,10,5,8
413,Del,Brien,dbrienbg@columbia.edu,Female,-72.6651768791098,-36.9220525642632,18188356-1,3,7,2,7,4
414,Matthaeus,Ales,malesbh@aol.com,Male,-72.7957867010276,-36.842762050684,18159991-k,8,3,1,3,5
415,Phyllida,Markham,pmarkhambi@dailymotion.com,Female,-73.1693540239522,-37.1317030658254,18147348-7,10,1,1,6,7
416,Reinaldo,Calcraft,rcalcraftbj@fastcompany.com,Male,-73.150702629341,-37.1377266245606,18128573-7,1,5,5,5,2
417,Bernita,Biscomb,bbiscombbk@constantcontact.com,Female,-73.0751229841741,-37.1547549898921,18127835-8,9,7,3,8,4
418,Wadsworth,McLaughlin,wmclaughlinbl@sakura.ne.jp,Male,-73.0231805791335,-37.1005992331477,18006471-0,9,10,2,10,5
419,Wendie,Wedderburn,wwedderburnbm@fda.gov,Female,-73.0533463877523,-37.3964545282703,18003725-k,9,2,1,8,3
420,Micky,Husband,mhusbandbn@walmart.com,Male,-72.9799161650189,-37.1522576518407,17991888-9,7,6,10,2,4
421,Woodrow,Chilles,wchillesbo@businessinsider.com,Male,-73.1049012355858,-36.7666763286858,17987881-k,3,9,6,8,8
422,Antonietta,Freeborn,afreebornbp@cnn.com,Female,-73.1279279579958,-36.7240863842839,17986222-0,4,8,9,1,10
423,Erica,Gilbane,egilbanebq@mtv.com,Female,-73.1002504153726,-36.7444556508912,17950968-7,9,8,10,3,5
424,Ariella,Rowet,arowetbr@census.gov,Female,-73.4377311463816,-37.4811323353526,17917098-1,3,7,8,10,9
425,Aldus,Barten,abartenbs@cbc.ca,Male,-73.4409895175924,-37.4671173621269,17910468-7,9,2,10,2,7
426,Connie,O'Donohue,codonohuebt@bbb.org,Female,-73.6528057010134,-37.6051117433256,17898694-5,5,9,8,5,2
427,Curr,McCabe,cmccabebu@instagram.com,Male,-73.2653364950324,-37.2258892204582,17858670-k,7,3,9,3,10
428,Gregg,Khomin,gkhominbv@indiegogo.com,Male,-73.5339718131641,-37.4364142172009,17825525-8,10,7,9,4,1
429,Andee,Shooter,ashooterbw@uol.com.br,Female,-73.6557262418248,-37.2833475410611,17716890-4,6,3,7,3,5
430,Quinlan,Heber,qheberbx@purevolume.com,Male,-73.5383357002015,-37.8644450485328,17698325-6,4,3,6,9,5
431,Irena,Minci,iminciby@dailymotion.com,Female,-73.3479610331539,-37.8684919104877,17690712-6,2,5,3,4,5
432,Katrinka,Robbert,krobbertbz@uiuc.edu,Female,-73.355152397795,-37.7413800752734,17689240-4,5,6,10,1,9
433,Howey,Croll,hcrollc0@slate.com,Male,-73.2351683777693,-37.9539548592873,17656185-8,7,6,9,4,9
434,Shellie,Bredgeland,sbredgelandc1@naver.com,Female,-73.0839712331506,-38.0988250325225,17643760-k,3,10,4,4,2
435,Jean,Spellar,jspellarc2@senate.gov,Male,-73.2663852820356,-38.2012468256058,17639529-k,10,3,9,5,9
436,Violante,Mulvagh,vmulvaghc3@senate.gov,Female,-73.1277674022691,-37.3811837994845,17608737-4,4,5,2,4,2
437,Lilllie,Eastmond,leastmondc4@godaddy.com,Female,-73.4392403446539,-37.371845241076,17565823-8,3,3,7,3,3
438,Sharity,Golston,sgolstonc5@blinklist.com,Female,-73.4354857879889,-37.3829323254571,17534257-5,3,5,7,2,5
439,Elisabetta,Crewther,ecrewtherc6@woothemes.com,Female,-73.1867610097018,-37.7211844692979,17478595-3,10,5,4,4,1
440,Errol,Ilyin,eilyinc7@merriam-webster.com,Male,-73.1844188139785,-37.6291857931975,17424630-0,3,4,2,1,3
441,Dorothy,Bader,dbaderc8@omniture.com,Female,-73.4437347932658,-37.6953123282292,17393633-8,10,3,6,9,1
